Gray Images
Image	Object	Volume_mm3	Min	Max	Mean	Std	

Color Images
Image	Object	Volume_mm3	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	



Type1-L1 Statistics

kirby656a_3_1_ax.img	Telencephalon_L	551654	0.0000e+00	336.0000	147.1902	55.2086	
kirby656a_3_1_ax.img	Telencephalon_R	570542	0.0000e+00	332.0000	151.8597	56.9509	
kirby656a_3_1_ax.img	Diencephalon_L	9519	20.0000	303.0000	211.4381	31.6296	
kirby656a_3_1_ax.img	Diencephalon_R	9678	8.0000	299.0000	212.8563	32.1241	
kirby656a_3_1_ax.img	Mesencephalon	12106	51.0000	329.0000	252.3835	28.2777	
kirby656a_3_1_ax.img	Metencephalon	156662	1.0000	328.0000	159.7301	55.5855	
kirby656a_3_1_ax.img	Myelencephalon	4826	29.0000	391.0000	218.9376	36.9923	
kirby656a_3_1_ax.img	CSF	67376	0.0000e+00	270.0000	46.5034	35.3101	



Type1-L2 Statistics

kirby656a_3_1_ax.img	CerebralCortex_L	274749	0.0000e+00	304.0000	101.8649	29.7321	
kirby656a_3_1_ax.img	CerebralCortex_R	284436	0.0000e+00	288.0000	104.8734	30.0605	
kirby656a_3_1_ax.img	CerebralNucli_L	13502	30.0000	291.0000	178.9618	29.7571	
kirby656a_3_1_ax.img	CerebralNucli_R	14255	36.0000	297.0000	181.5168	31.7258	
kirby656a_3_1_ax.img	Thalamus_L	6222	69.0000	292.0000	210.9155	23.1361	
kirby656a_3_1_ax.img	Thalamus_R	6444	24.0000	290.0000	214.0019	24.8410	
kirby656a_3_1_ax.img	BasalForebrain_L	3297	20.0000	303.0000	212.4245	43.3236	
kirby656a_3_1_ax.img	BasalForebrain_R	3234	8.0000	299.0000	210.5737	43.0211	
kirby656a_3_1_ax.img	Mesencephalon_L	6066	94.0000	317.0000	250.0030	26.2003	
kirby656a_3_1_ax.img	Mesencephalon_R	6040	51.0000	329.0000	254.7745	30.0314	
kirby656a_3_1_ax.img	Metencephalon_R	78906	1.0000	303.0000	164.4571	55.4477	
kirby656a_3_1_ax.img	Metencephalon_L	77756	2.0000	328.0000	154.9332	55.3135	
kirby656a_3_1_ax.img	Myelencephalon_L	2271	29.0000	391.0000	216.9487	41.8846	
kirby656a_3_1_ax.img	Myelencephalon_R	2555	44.0000	294.0000	220.7050	31.9195	
kirby656a_3_1_ax.img	WhiteMatter_L	263404	7.0000	336.0000	192.8393	33.7281	
kirby656a_3_1_ax.img	WhiteMatter_R	271851	6.0000	332.0000	199.4662	34.4436	
kirby656a_3_1_ax.img	Ventricle	21503	0.0000e+00	270.0000	63.6246	50.2271	
kirby656a_3_1_ax.img	Sulcus_L	24022	0.0000e+00	131.0000	38.5400	20.8886	
kirby656a_3_1_ax.img	Sulcus_R	21851	0.0000e+00	139.0000	38.4093	21.4116	



Type1-L3 Statistics

kirby656a_3_1_ax.img	Frontal_L	92337	2.0000	265.0000	95.5832	28.2147	
kirby656a_3_1_ax.img	Frontal_R	95381	1.0000	246.0000	95.6731	26.3153	
kirby656a_3_1_ax.img	Parietal_L	43581	2.0000	193.0000	94.4738	23.4691	
kirby656a_3_1_ax.img	Parietal_R	48826	5.0000	199.0000	99.2748	24.2137	
kirby656a_3_1_ax.img	Temporal_L	66087	0.0000e+00	226.0000	104.4169	25.4883	
kirby656a_3_1_ax.img	Temporal_R	63128	1.0000	259.0000	110.8993	26.8622	
kirby656a_3_1_ax.img	Limbic_L	31906	7.0000	304.0000	131.9902	33.4868	
kirby656a_3_1_ax.img	Limbic_R	37406	7.0000	288.0000	129.2276	35.9425	
kirby656a_3_1_ax.img	Occipital_L	35418	2.0000	224.0000	95.6612	29.0051	
kirby656a_3_1_ax.img	Occipital_R	34700	0.0000e+00	234.0000	100.5573	30.9172	
kirby656a_3_1_ax.img	Insula_L	7542	10.0000	225.0000	115.2390	25.7511	
kirby656a_3_1_ax.img	Insula_R	7446	13.0000	264.0000	122.6495	27.3964	
kirby656a_3_1_ax.img	BasalGang_L	11381	30.0000	291.0000	183.7633	29.0517	
kirby656a_3_1_ax.img	BasalGang_R	11807	36.0000	297.0000	186.9846	30.6845	
kirby656a_3_1_ax.img	Thalamus_L	6222	69.0000	292.0000	210.9155	23.1361	
kirby656a_3_1_ax.img	Thalamus_R	6444	24.0000	290.0000	214.0019	24.8410	
kirby656a_3_1_ax.img	BasalForebrain_L	3297	20.0000	303.0000	212.4245	43.3236	
kirby656a_3_1_ax.img	BasalForebrain_R	3234	8.0000	299.0000	210.5737	43.0211	
