,ID,Object,Volume,Type,Level,BaseRegion,Hemisphere,Prop
0,0,Telencephalon_L,547038.0,1,1,Telencephalon,Left,0.3899003577996037
1,0,Telencephalon_R,551505.0,1,1,Telencephalon,Right,0.3930842040740688
2,0,Diencephalon_L,8944.0,1,1,Diencephalon,Left,0.006374820031075822
3,0,Diencephalon_R,9122.0,1,1,Diencephalon,Right,0.006501689213268521
4,0,Mesencephalon,10730.0,1,1,Mesencephalon,Central,0.007647788342290202
5,0,Metencephalon,164952.0,1,1,Metencephalon,Central,0.11756924348904506
6,0,Myelencephalon,4872.0,1,1,Myelencephalon,Central,0.0034725093013642
7,0,CSF,105857.0,1,1,CSF,Central,0.07544938774928368
8,0,CerebralCortex_L,278783.0,1,2,CerebralCortex,Left,0.19870208550127583
9,0,CerebralCortex_R,276832.0,1,2,CerebralCortex,Right,0.1973115137346581
10,0,CerebralNucli_L,13037.0,1,2,CerebralNucli,Left,0.009292098473293325
11,0,CerebralNucli_R,13736.0,1,2,CerebralNucli,Right,0.009790309475274765
12,0,Thalamus_L,5825.0,1,2,Thalamus,Left,0.0041517583498453334
13,0,Thalamus_R,6036.0,1,2,Thalamus,Right,0.004302148223118701
14,0,BasalForebrain_L,3119.0,1,2,BasalForebrain,Left,0.0022230616812304884
15,0,BasalForebrain_R,3086.0,1,2,BasalForebrain,Right,0.0021995409901498196
16,0,Mesencephalon_L,5414.0,1,2,Mesencephalon,Left,0.0038588188336588216
17,0,Mesencephalon_R,5316.0,1,2,Mesencephalon,Right,0.003788969508631381
18,0,Metencephalon_R,83891.0,1,2,Metencephalon,Right,0.05979316046813303
19,0,Metencephalon_L,81062.0,1,2,Metencephalon,Left,0.0577767957691266
20,0,Myelencephalon_L,2248.0,1,2,Myelencephalon,Left,0.0016022579863437443
21,0,Myelencephalon_R,2625.0,1,2,Myelencephalon,Right,0.0018709640632350215
22,0,WhiteMatter_L,255219.0,1,2,WhiteMatter,Left,0.18190688657324913
23,0,WhiteMatter_R,260938.0,1,2,WhiteMatter,Right,0.1859830936123505
24,0,Ventricle,42174.0,1,2,Ventricle,Central,0.03005944320109478
25,0,Sulcus_L,33851.0,1,2,Sulcus,Left,0.024127239811264273
26,0,Sulcus_R,29832.0,1,2,Sulcus,Right,0.021262704736924633
27,0,Frontal_L,91076.0,1,3,Frontal,Left,0.06491425638978775
